sku,status,source_url,image_source,note,source_width,source_height,source_mime,source_sha256,processed_path,processed_sha256
IRIB-MINDARI-GRUSHEY-UNKNOWN-GLASS,exact_low_res,https://irib.su/wp-content/uploads/2023/09/grusha-limonad.webp,stage1_featured_or_assigned,no source upscale; catalog canvas only,125,380,image/webp,84de07405d71f0a976376a8ca9f35cb8327b91a9bb8bb0f4423942482a3dbc0d,artifacts/irib-import/2026-08-05T14-12-48-411Z-final/processed/IRIB-MINDARI-GRUSHEY-UNKNOWN-GLASS.webp,97f0896f54bad2a380707b7aeb01bb0139707c26c73a88f7a8150ece0599813b
IRIB-MINDARI-MANGO-UNKNOWN-GLASS,exact_low_res,https://irib.su/wp-content/uploads/2023/09/mango-limonad.png,stage1_featured_or_assigned,no source upscale; catalog canvas only,130,380,image/png,b808f7f43e10afbc2951c30042340617d3a2b90d5b50b06e22d7cf32eb53d810,artifacts/irib-import/2026-08-05T14-12-48-411Z-final/processed/IRIB-MINDARI-MANGO-UNKNOWN-GLASS.webp,64e6f49c0ccfd37ad11ca0319b774a12841fd1533d92a5caedaf600afc0b6ecb
IRIB-MINDARI-MOHITO-UNKNOWN-GLASS,exact_low_res,https://irib.su/wp-content/uploads/2023/09/lime-limonad-2.png,stage1_featured_or_assigned,no source upscale; catalog canvas only,125,380,image/png,377c86daa6c096ba7ebe2a81e367f43f97f1aa9cd9301a4e35fe7ea4a8c38314,artifacts/irib-import/2026-08-05T14-12-48-411Z-final/processed/IRIB-MINDARI-MOHITO-UNKNOWN-GLASS.webp,e6fdb3d9c771adb8f640e3b1be7da5dfedc4441411d4d09d8ffaec1a99532f48
IRIB-MINDARI-SHIPOVNIKOM-UNKNOWN-GLASS,exact_low_res,https://irib.su/wp-content/uploads/2023/09/shipovnik-limonad.png,stage1_featured_or_assigned,no source upscale; catalog canvas only,125,380,image/png,05b6a6ee92669b2410f6d944773b68cfb664f5c86f4781ba910703a6c27c8eb6,artifacts/irib-import/2026-08-05T14-12-48-411Z-final/processed/IRIB-MINDARI-SHIPOVNIKOM-UNKNOWN-GLASS.webp,558fc4a177004c059bad1312f5ff169e63265484113734e15d5518ee14066a9c
IRIB-NEKTAR-ABRIKOSOVYY-3000-PET,exact,https://irib.su/wp-content/uploads/2021/04/abrik-nektar3l-1080.png,wp_attachment_volume_filename,no source upscale; catalog canvas only,654,1080,image/png,8ccf690b517d229d12384019be4b72e8afb27e20ca9df44b8edbe238027084a9,artifacts/irib-import/2026-08-05T14-12-48-411Z-final/processed/IRIB-NEKTAR-ABRIKOSOVYY-3000-PET.webp,fa193404fc4dca059da23c750b967cc6d90f62eff45b08952927316dfc70e25f
IRIB-NEKTAR-ABRIKOSOVYY-330-GLASS,missing,,missing,no volume-matched official attachment/featured image,,,,,,
IRIB-NEKTAR-ABRIKOSOVYY-500-GLASS,exact,https://irib.su/wp-content/uploads/2020/03/abriosovyj-05-PhotoRoom-1-3.png,wp_attachment_volume_filename,no source upscale; catalog canvas only,376,1080,image/png,902ef1902564fdf3d3d7f80170bed0b45a4c6670fd0e2563c0e7820840e11c77,artifacts/irib-import/2026-08-05T14-12-48-411Z-final/processed/IRIB-NEKTAR-ABRIKOSOVYY-500-GLASS.webp,28f9f01f867a9d6c8d5a8baa4aa1bc9a7ffa6430d7d342c359cd0c52bfc6e937
IRIB-NEKTAR-ABRIKOSOVYY-750-GLASS,exact_low_res,https://irib.su/wp-content/uploads/2020/03/abriosovyi-075-PhotoRoom-1.png,wp_attachment_volume_filename,no source upscale; catalog canvas only,128,366,image/png,0f11bd77a32175a435c0e989aec132ce15ea2db8127428880d5f0b21374b8cdb,artifacts/irib-import/2026-08-05T14-12-48-411Z-final/processed/IRIB-NEKTAR-ABRIKOSOVYY-750-GLASS.webp,118bb22e9f667994cfdcc43a03c0c8ea44156d130399e8bbdb847e55984aa98c
IRIB-NEKTAR-MANGOVYY-330-GLASS,missing,,missing,no volume-matched official attachment/featured image,,,,,,
IRIB-NEKTAR-MANGOVYY-500-GLASS,exact,https://irib.su/wp-content/uploads/2022/08/mango-nektar-05-PhotoRoom-1-2.png,wp_attachment_volume_filename,no source upscale; catalog canvas only,382,1080,image/png,5ca8a75f5892a27ab25ddc318c59d30d107990f72f27d30987bb439267058465,artifacts/irib-import/2026-08-05T14-12-48-411Z-final/processed/IRIB-NEKTAR-MANGOVYY-500-GLASS.webp,b84f520dab436c66776c4229b4bca36b59ff641ca9cbb099bb8075f9d75885f8
