sku,name,brand,category,volume_text,package_type,description,sales_status,active_flag,price_amount
DARYAL-AKVA-DARYAL-STILL-500-GLASS,"Аква Дарьял негазированная, 0,5 л, стекло",Аква Дарьял,Минеральная вода,"0,5 л",стекло,"Производитель: ООО ВПБЗ «Дарьял»
Бренд: Аква Дарьял
Источник: https://darialgroup.ru/water/
Импорт: Дарьял non-alcoholic catalog (showcase, без цены, заказ недоступен)",showcase,active,""
DARYAL-DARYAL-APELSIN-KORIANDR-500-GLASS,"Дарьял Апельсин-кориандр газированная, 0,5 л, стекло",Дарьял,Газированные напитки,"0,5 л",стекло,"Производитель: ООО ВПБЗ «Дарьял»
Бренд: Дарьял
Вкус: Апельсин-кориандр
Источник: https://darialgroup.ru/sparkling/
Импорт: Дарьял non-alcoholic catalog (showcase, без цены, заказ недоступен)",showcase,active,""
DARYAL-DARYAL-FEYHOA-SHELKOVITSA-500-GLASS,"Дарьял Фейхоа-Шелковица газированная, 0,5 л, стекло",Дарьял,Газированные напитки,"0,5 л",стекло,"Производитель: ООО ВПБЗ «Дарьял»
Бренд: Дарьял
Вкус: Фейхоа-Шелковица
Источник: https://darialgroup.ru/sparkling/
Импорт: Дарьял non-alcoholic catalog (showcase, без цены, заказ недоступен)",showcase,active,""
DARYAL-DARYAL-GRANAT-500-GLASS,"Дарьял Гранат газированная, 0,5 л, стекло",Дарьял,Газированные напитки,"0,5 л",стекло,"Производитель: ООО ВПБЗ «Дарьял»
Бренд: Дарьял
Вкус: Гранат
Источник: https://darialgroup.ru/sparkling/
Импорт: Дарьял non-alcoholic catalog (showcase, без цены, заказ недоступен)",showcase,active,""
DARYAL-DARYAL-GRUSHA-500-GLASS,"Дарьял Груша газированная, 0,5 л, стекло",Дарьял,Газированные напитки,"0,5 л",стекло,"Производитель: ООО ВПБЗ «Дарьял»
Бренд: Дарьял
Вкус: Груша
Источник: https://darialgroup.ru/sparkling/
Импорт: Дарьял non-alcoholic catalog (showcase, без цены, заказ недоступен)",showcase,active,""
DARYAL-DARYAL-KOLA-APELSIN-500-GLASS,"Дарьял Кола-апельсин газированная, 0,5 л, стекло",Дарьял,Газированные напитки,"0,5 л",стекло,"Производитель: ООО ВПБЗ «Дарьял»
Бренд: Дарьял
Вкус: Кола-апельсин
Источник: https://darialgroup.ru/sparkling/
Импорт: Дарьял non-alcoholic catalog (showcase, без цены, заказ недоступен)",showcase,active,""
DARYAL-DARYAL-MOHITO-500-GLASS,"Дарьял Мохито газированная, 0,5 л, стекло",Дарьял,Газированные напитки,"0,5 л",стекло,"Производитель: ООО ВПБЗ «Дарьял»
Бренд: Дарьял
Вкус: Мохито
Источник: https://darialgroup.ru/sparkling/
Импорт: Дарьял non-alcoholic catalog (showcase, без цены, заказ недоступен)",showcase,active,""
DARYAL-DARYAL-TARHUN-500-GLASS,"Дарьял Тархун газированная, 0,5 л, стекло",Дарьял,Газированные напитки,"0,5 л",стекло,"Производитель: ООО ВПБЗ «Дарьял»
Бренд: Дарьял
Вкус: Тархун
Источник: https://darialgroup.ru/sparkling/
Импорт: Дарьял non-alcoholic catalog (showcase, без цены, заказ недоступен)",showcase,active,""
DRINK-COCACOLA-330-CAN-251,"Coca-Cola Original Taste, 0,33 л, жестяная банка",Coca-Cola,Кола,"0,33 л",жестяная банка,"",showcase,active,""
DRINK-COCACOLA-330-CAN-309,"Coca-Cola Zero, 0,33 л, жестяная банка",Coca-Cola,Кола,"0,33 л",жестяная банка,"",showcase,active,""
DRINK-COCACOLA-330-CAN-379,"Coca-Cola Zero без кофеина, 0,33 л, жестяная банка",Coca-Cola,Кола,"0,33 л",жестяная банка,"",showcase,active,""
DRINK-COCACOLA-330-GLASS-105,"Coca-Cola Original Taste, 0,33 л, стекло",Coca-Cola,Кола,"0,33 л",стекло,"",showcase,active,""
DRINK-SPRITE-330-CAN-135,"Sprite с лимоном и лаймом, 0,33 л, жестяная банка",Sprite,Лимонады,"0,33 л",жестяная банка,"",showcase,active,""
ZY-ADRENALINE-250-CAN-001,"Adrenaline Rush Абсолютная энергия, 0,25 л, жестяная банка",Adrenaline Rush,Энергетические напитки,"0,25 л",жестяная банка,"",showcase,active,""
ZY-ADRENALINE-449-CAN-001,"Adrenaline Rush Абсолютная энергия, 0,449 л, жестяная банка",Adrenaline Rush,Энергетические напитки,"0,449 л",жестяная банка,"",showcase,active,""
ZY-BORZHOMI-330-GLASS-001,"Вода минеральная Borjomi лечебно-столовая ст/б 0,33л",Боржоми,Газированная вода,330 мл,стекло,"",showcase,active,""
ZY-BORZHOMI-500-GLASS-001,Вода минеральная Borjomi лечебно-столовая ст/б 0.5л,Боржоми,Газированная вода,500 мл,стекло,"",showcase,active,""
ZY-COCACOLAZERO-330-GLASS-001,"Coca-Cola Zero, 0,33 л, стекло",Coca-Cola,Кола,"0,33 л",стекло,"",showcase,active,""
ZY-MIN-500-GLASS-001,"Вода мин Рычал-су ст/б 0,5л",мин,Газированная вода,500 мл,стекло,"",showcase,active,""
ZY-SPRITE-2000-PET-001,"Sprite с лимоном и лаймом, 2 л, ПЭТ",Sprite,Газированные напитки,2 л,ПЭТ,"",showcase,active,""
ZY-VIKO-1000-CARTON-001,Сок Вико 1л апельсиновый,Вико,Сок,1 л,картон,"",showcase,active,""
ZY-VIKO-1000-CARTON-002,Сок Вико 1л ананасовый,Вико,Сок,1 л,картон,"",showcase,active,""
ZY-VIKO-1000-CARTON-003,Сок Вико 1л вишневый,Вико,Сок,1 л,картон,"",showcase,active,""
ZY-VIKO-1000-CARTON-004,Сок Вико 1л Мультифрукт,Вико,Сок,1 л,картон,"",showcase,active,""
ZY-VIKO-1000-CARTON-005,Сок Вико 1л зеленое яблоко,Вико,Сок,1 л,картон,"",showcase,active,""
ZY-VIKO-1000-CARTON-006,Сок Вико 1л Гранатовый,Вико,Сок,1 л,картон,"",showcase,active,""
ZY-VIKO-1000-CARTON-007,Сок Вико 1л персиковый,Вико,Сок,1 л,картон,"",showcase,active,""
ZY-VIKO-1000-CARTON-008,Сок Вико 1л виноградно яблочный,Вико,Сок,1 л,картон,"",showcase,active,""
ZY-VIKO-1000-CARTON-009,Сок Вико 1л Апельсин манго,Вико,Сок,1 л,картон,"",showcase,active,""
ZY-VIKO-1000-CARTON-010,Сок Вико 1л виноградный черный,Вико,Сок,1 л,картон,"",showcase,active,""
ZY-VIKO-1000-CARTON-011,Сок Вико 1л томатный,Вико,Сок,1 л,картон,"",showcase,active,""
ZY-VIKO-1000-CARTON-012,Нектар Вико 1л абрикос,Вико,Нектар,1 л,картон,"",showcase,active,""
ZY-VIKO-1000-CARTON-013,Нектар Вико 1л банановый,Вико,Нектар,1 л,картон,"",showcase,active,""
