proposed_sku,source_image_url,local_image_path,sha256,bytes,status,notes
BAVARIA-TBAU-TBAU-NEGAZIROVANNAYA-GAZIRO-19000-PET,https://www.bavaria-group.ru/files/beer_items/33_1716877500.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-tbau-tbau-negazirovannaya-19-l-pet.jpg,8647ab50ca7bb6f59efd74ddb5c3b2ddfc0da75ba538152d9cd9a32e123b0059,330891,downloaded,
BAVARIA-TBAU-TBAU-NEGAZIROVANNAYA-NEGAZI-19000-PET,https://www.bavaria-group.ru/files/beer_items/33_1716877500.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-tbau-tbau-negazirovannaya-19-l-pet.jpg,8647ab50ca7bb6f59efd74ddb5c3b2ddfc0da75ba538152d9cd9a32e123b0059,330891,reused,Дубликат содержимого — переиспользован файл
BAVARIA-HONG-EZHEVIKA-GAZIROVANNAYA-500-PET,https://www.bavaria-group.ru/files/beer_items/129_1775745544.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-hong-ezhevika-0-5-l-pet.jpg,4936aea74cd16629a9f49cdb8429908741954278c8d5406a0877ec02c46f1abd,417452,downloaded,
BAVARIA-HONG-CHERESHNYA-GAZIROVANNAYA-500-PET,https://www.bavaria-group.ru/files/beer_items/129_1775745544.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-hong-ezhevika-0-5-l-pet.jpg,4936aea74cd16629a9f49cdb8429908741954278c8d5406a0877ec02c46f1abd,417452,reused,Дубликат содержимого — переиспользован файл
BAVARIA-HONG-VINOGRAD-GAZIROVANNAYA-500-PET,https://www.bavaria-group.ru/files/beer_items/129_1775745544.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-hong-ezhevika-0-5-l-pet.jpg,4936aea74cd16629a9f49cdb8429908741954278c8d5406a0877ec02c46f1abd,417452,reused,Дубликат содержимого — переиспользован файл
BAVARIA-HONG-YABLOKO-SHELKOVITSA-FORMAT-0-500-PET,https://www.bavaria-group.ru/files/beer_items/129_1775745544.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-hong-ezhevika-0-5-l-pet.jpg,4936aea74cd16629a9f49cdb8429908741954278c8d5406a0877ec02c46f1abd,417452,reused,Дубликат содержимого — переиспользован файл
BAVARIA-LIMNADA-ANANAS-GAZIROVANNAYA-1500-PET,https://www.bavaria-group.ru/files/beer_items/58_1718608488.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-limnada-ananas-1-5-l-pet.jpg,8b15115926f6a26fe17088456da0d1ff6be7f175d0b89ad2d828f9071d5b5e4f,1598978,downloaded,
BAVARIA-LIMNADA-KREM-SODA-GAZIROVANNAYA-1500-PET,https://www.bavaria-group.ru/files/beer_items/58_1718608488.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-limnada-ananas-1-5-l-pet.jpg,8b15115926f6a26fe17088456da0d1ff6be7f175d0b89ad2d828f9071d5b5e4f,1598978,reused,Дубликат содержимого — переиспользован файл
BAVARIA-LIMNADA-DYUSHES-GAZIROVANNAYA-1500-PET,https://www.bavaria-group.ru/files/beer_items/58_1718608488.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-limnada-ananas-1-5-l-pet.jpg,8b15115926f6a26fe17088456da0d1ff6be7f175d0b89ad2d828f9071d5b5e4f,1598978,reused,Дубликат содержимого — переиспользован файл
BAVARIA-LIMNADA-KREM-SODA-GAZIROVANNAYA-500-PET,https://www.bavaria-group.ru/files/beer_items/68_1718376439.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-limnada-krem-soda-0-5-l-pet.jpg,d345202b88bcc8390e459f4ef1cce379adea6ae1f221f7ee8e1507bff2d4b710,1389120,downloaded,
BAVARIA-LIMNADA-DYUSHES-GAZIROVANNAYA-500-PET,https://www.bavaria-group.ru/files/beer_items/68_1718376439.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-limnada-krem-soda-0-5-l-pet.jpg,d345202b88bcc8390e459f4ef1cce379adea6ae1f221f7ee8e1507bff2d4b710,1389120,reused,Дубликат содержимого — переиспользован файл
BAVARIA-BAVARIYA-GRUSHA-GAZIROVANNAYA-1500-PET,https://www.bavaria-group.ru/files/beer_items/95_1730364037.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-grusha-1-5-l-pet.jpg,1c25068925bcdc13bed83981099e56282a575cfdcfd616537e56975011f02b48,2319109,downloaded,
BAVARIA-BAVARIYA-APELSIN-GAZIROVANNAYA-1500-PET,https://www.bavaria-group.ru/files/beer_items/95_1730364037.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-grusha-1-5-l-pet.jpg,1c25068925bcdc13bed83981099e56282a575cfdcfd616537e56975011f02b48,2319109,reused,Дубликат содержимого — переиспользован файл
BAVARIA-BAVARIYA-TARHUN-GAZIROVANNAYA-1500-PET,https://www.bavaria-group.ru/files/beer_items/95_1730364037.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-grusha-1-5-l-pet.jpg,1c25068925bcdc13bed83981099e56282a575cfdcfd616537e56975011f02b48,2319109,reused,Дубликат содержимого — переиспользован файл
BAVARIA-BAVARIYA-PITAHAYYA-GAZIROVANNAYA-1500-PET,https://www.bavaria-group.ru/files/beer_items/95_1730364037.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-grusha-1-5-l-pet.jpg,1c25068925bcdc13bed83981099e56282a575cfdcfd616537e56975011f02b48,2319109,reused,Дубликат содержимого — переиспользован файл
BAVARIA-BAVARIYA-MOHITO-GAZIROVANNAYA-1500-PET,https://www.bavaria-group.ru/files/beer_items/95_1730364037.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-grusha-1-5-l-pet.jpg,1c25068925bcdc13bed83981099e56282a575cfdcfd616537e56975011f02b48,2319109,reused,Дубликат содержимого — переиспользован файл
BAVARIA-BAVARIYA-GRUSHA-GAZIROVANNAYA-500-PET,https://www.bavaria-group.ru/files/beer_items/97_1730364236.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-grusha-0-5-l-pet.jpg,884c87b1b4de115147a717d59ef4fe472647cef388d705aabc20dfdd4b779395,1761914,downloaded,
BAVARIA-BAVARIYA-TARHUN-GAZIROVANNAYA-500-PET,https://www.bavaria-group.ru/files/beer_items/97_1730364236.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-grusha-0-5-l-pet.jpg,884c87b1b4de115147a717d59ef4fe472647cef388d705aabc20dfdd4b779395,1761914,reused,Дубликат содержимого — переиспользован файл
BAVARIA-BAVARIYA-GRUSHA-GAZIROVANNAYA-500-GLASS,https://www.bavaria-group.ru/files/beer_items/22_1730373939.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-grusha-0-5-l-steklo.jpg,ee5a5506b3d8523fbd017fac882802040acd8b5db28ad7a5fba882f52a8827b0,2338837,downloaded,
BAVARIA-BAVARIYA-TARHUN-GAZIROVANNAYA-500-GLASS,https://www.bavaria-group.ru/files/beer_items/22_1730373939.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-grusha-0-5-l-steklo.jpg,ee5a5506b3d8523fbd017fac882802040acd8b5db28ad7a5fba882f52a8827b0,2338837,reused,Дубликат содержимого — переиспользован файл
BAVARIA-BAVARIYA-APELSIN-GAZIROVANNAYA-500-GLASS,https://www.bavaria-group.ru/files/beer_items/22_1730373939.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-grusha-0-5-l-steklo.jpg,ee5a5506b3d8523fbd017fac882802040acd8b5db28ad7a5fba882f52a8827b0,2338837,reused,Дубликат содержимого — переиспользован файл
BAVARIA-BAVARIYA-GRANAT-GAZIROVANNAYA-500-GLASS,https://www.bavaria-group.ru/files/beer_items/22_1730373939.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-grusha-0-5-l-steklo.jpg,ee5a5506b3d8523fbd017fac882802040acd8b5db28ad7a5fba882f52a8827b0,2338837,reused,Дубликат содержимого — переиспользован файл
BAVARIA-BAVARIYA-FEYHOA-GAZIROVANNAYA-500-GLASS,https://www.bavaria-group.ru/files/beer_items/22_1730373939.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-grusha-0-5-l-steklo.jpg,ee5a5506b3d8523fbd017fac882802040acd8b5db28ad7a5fba882f52a8827b0,2338837,reused,Дубликат содержимого — переиспользован файл
BAVARIA-BAVARIYA-GRUSHA-GAZIROVANNAYA-1200-PET,https://www.bavaria-group.ru/files/beer_items/126_1772458839.png,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-grusha-1-2-l-pet.png,6fc10cd701c7afda3349476ae78b04c19d4fb4e38de955991158270f1598de4a,1341584,downloaded,
BAVARIA-BAVARIYA-TARHUN-GAZIROVANNAYA-1200-PET,https://www.bavaria-group.ru/files/beer_items/126_1772458839.png,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-grusha-1-2-l-pet.png,6fc10cd701c7afda3349476ae78b04c19d4fb4e38de955991158270f1598de4a,1341584,reused,Дубликат содержимого — переиспользован файл
BAVARIA-BAVARIYA-GRANAT-GAZIROVANNAYA-1200-PET,https://www.bavaria-group.ru/files/beer_items/126_1772458839.png,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-grusha-1-2-l-pet.png,6fc10cd701c7afda3349476ae78b04c19d4fb4e38de955991158270f1598de4a,1341584,reused,Дубликат содержимого — переиспользован файл
BAVARIA-BAVARIYA-FEYHOA-GAZIROVANNAYA-1200-PET,https://www.bavaria-group.ru/files/beer_items/126_1772458839.png,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-grusha-1-2-l-pet.png,6fc10cd701c7afda3349476ae78b04c19d4fb4e38de955991158270f1598de4a,1341584,reused,Дубликат содержимого — переиспользован файл
