proposed_sku,official_name,proposed_name,brand,manufacturer,line,flavor,flavor_key,volume_ml,volume_text,package_type,package_code,carbonation,category,category_slug,category_id,category_status,source_url,source_image_url,image_path,image_match_status,image_width,image_height,image_mime,source_image_sha256,processed_sha256,duplicate_status,confidence,review_status,review_reason,volume_confidence,notes,wp_slug,sales_status,price_amount,orderable,availability,units_per_package
IRIB-MINDARI-GRUSHEY-UNKNOWN-GLASS,Лимонад с грушей,Mindari грушей,Mindari,ООО «ИРИБ»,MINDARI,грушей,GRUSHEY,,,стекло,GLASS,,Лимонады,limonady,a8af36d2-ef7a-49ce-8aea-42fdf99359ae,mapped,https://irib.su/product/limonad-grusha/,https://irib.su/wp-content/uploads/2023/09/grusha-limonad.webp,artifacts/irib-import/2026-08-05T13-53-00-881Z-stage1/processed/IRIB-MINDARI-GRUSHEY-UNKNOWN-GLASS.webp,exact_low_res,125,380,image/webp,84de07405d71f0a976376a8ca9f35cb8327b91a9bb8bb0f4423942482a3dbc0d,3bb86e744b43db3f3bdfc9996cb449f7897e7441d153ebaa3085d5c6fe4af9c6,new_product,medium,manual,volume_unknown,none,volume_unknown,limonad-grusha,showcase,,false,on_order,1
IRIB-MINDARI-MANGO-UNKNOWN-GLASS,Лимонад с манго,Mindari манго,Mindari,ООО «ИРИБ»,MINDARI,манго,MANGO,,,стекло,GLASS,,Лимонады,limonady,a8af36d2-ef7a-49ce-8aea-42fdf99359ae,mapped,https://irib.su/product/mindari-s-mango/,https://irib.su/wp-content/uploads/2023/09/mango-limonad.png,artifacts/irib-import/2026-08-05T13-53-00-881Z-stage1/processed/IRIB-MINDARI-MANGO-UNKNOWN-GLASS.webp,exact_low_res,130,380,image/png,b808f7f43e10afbc2951c30042340617d3a2b90d5b50b06e22d7cf32eb53d810,934379629f19c1293b852ed7d0f71c05e96b78dbd33d39fb9b98dd68db0867f3,new_product,medium,manual,volume_unknown,none,volume_unknown,mindari-s-mango,showcase,,false,on_order,1
IRIB-MINDARI-MOHITO-UNKNOWN-GLASS,Лимонад мохито,Mindari мохито,Mindari,ООО «ИРИБ»,MINDARI,мохито,MOHITO,,,стекло,GLASS,,Лимонады,limonady,a8af36d2-ef7a-49ce-8aea-42fdf99359ae,mapped,https://irib.su/product/limonad-mohito/,https://irib.su/wp-content/uploads/2023/09/lime-limonad-2.png,artifacts/irib-import/2026-08-05T13-53-00-881Z-stage1/processed/IRIB-MINDARI-MOHITO-UNKNOWN-GLASS.webp,exact_low_res,125,380,image/png,377c86daa6c096ba7ebe2a81e367f43f97f1aa9cd9301a4e35fe7ea4a8c38314,60b1737f9f03a8e50cdb7673fd1aa7002f77120d1f27c1c5e9dd617697c651c8,new_product,medium,manual,volume_unknown,none,volume_unknown,limonad-mohito,showcase,,false,on_order,1
IRIB-MINDARI-SHIPOVNIKOM-UNKNOWN-GLASS,Лимонад с шиповником,Mindari шиповником,Mindari,ООО «ИРИБ»,MINDARI,шиповником,SHIPOVNIKOM,,,стекло,GLASS,,Лимонады,limonady,a8af36d2-ef7a-49ce-8aea-42fdf99359ae,mapped,https://irib.su/product/limonad-s-shipovnikom/,https://irib.su/wp-content/uploads/2023/09/shipovnik-limonad.png,artifacts/irib-import/2026-08-05T13-53-00-881Z-stage1/processed/IRIB-MINDARI-SHIPOVNIKOM-UNKNOWN-GLASS.webp,exact_low_res,125,380,image/png,05b6a6ee92669b2410f6d944773b68cfb664f5c86f4781ba910703a6c27c8eb6,57b36a7f15ca0ebcabbb10dd430496125a8da27c8a2700b169a74093edb62feb,new_product,medium,manual,volume_unknown,none,volume_unknown,limonad-s-shipovnikom,showcase,,false,on_order,1
IRIB-NEKTAR-ABRIKOSOVYY-330-GLASS,Абрикосовый нектар,"Нектар Ириб Абрикосовый, 330 мл, стекло",Ириб,ООО «ИРИБ»,NEKTAR,Абрикосовый,ABRIKOSOVYY,330,330 мл,стекло,GLASS,,Нектар,nektar,46d78cfd-6749-441c-9b27-c7237552cad8,mapped,https://irib.su/product/abrikosovyj-sok/,,,missing,,,,,,probable_match,medium,manual,volume_image_unconfirmed; probable_match; missing_image; multi_volume_image_unassigned,low,multi_volume_image_unassigned,abrikosovyj-sok,showcase,,false,on_order,1
IRIB-NEKTAR-ABRIKOSOVYY-500-GLASS,Абрикосовый нектар,"Нектар Ириб Абрикосовый, 500 мл, стекло",Ириб,ООО «ИРИБ»,NEKTAR,Абрикосовый,ABRIKOSOVYY,500,500 мл,стекло,GLASS,,Нектар,nektar,46d78cfd-6749-441c-9b27-c7237552cad8,mapped,https://irib.su/product/abrikosovyj-sok/,,,missing,,,,,,probable_match,medium,manual,volume_image_unconfirmed; probable_match; missing_image; multi_volume_image_unassigned,low,multi_volume_image_unassigned,abrikosovyj-sok,showcase,,false,on_order,1
IRIB-NEKTAR-ABRIKOSOVYY-750-GLASS,Абрикосовый нектар,"Нектар Ириб Абрикосовый, 750 мл, стекло",Ириб,ООО «ИРИБ»,NEKTAR,Абрикосовый,ABRIKOSOVYY,750,750 мл,стекло,GLASS,,Нектар,nektar,46d78cfd-6749-441c-9b27-c7237552cad8,mapped,https://irib.su/product/abrikosovyj-sok/,,,missing,,,,,,exact_match,medium,manual,volume_image_unconfirmed; exact_match; missing_image; multi_volume_image_unassigned,low,multi_volume_image_unassigned,abrikosovyj-sok,showcase,,false,on_order,1
IRIB-NEKTAR-MANGOVYY-330-GLASS,Манговый нектар,"Нектар Ириб Манговый, 330 мл, стекло",Ириб,ООО «ИРИБ»,NEKTAR,Манговый,MANGOVYY,330,330 мл,стекло,GLASS,,Нектар,nektar,46d78cfd-6749-441c-9b27-c7237552cad8,mapped,https://irib.su/product/irib-mango/,,,missing,,,,,,new_product,medium,manual,volume_image_unconfirmed; missing_image; multi_volume_image_unassigned,low,multi_volume_image_unassigned,irib-mango,showcase,,false,on_order,1
IRIB-NEKTAR-MANGOVYY-500-GLASS,Манговый нектар,"Нектар Ириб Манговый, 500 мл, стекло",Ириб,ООО «ИРИБ»,NEKTAR,Манговый,MANGOVYY,500,500 мл,стекло,GLASS,,Нектар,nektar,46d78cfd-6749-441c-9b27-c7237552cad8,mapped,https://irib.su/product/irib-mango/,,,missing,,,,,,new_product,medium,manual,volume_image_unconfirmed; missing_image; multi_volume_image_unassigned,low,multi_volume_image_unassigned,irib-mango,showcase,,false,on_order,1
IRIB-NEKTAR-PERSIKOVYY-500-GLASS,Персиковый нектар,"Нектар Ириб Персиковый, 500 мл, стекло",Ириб,ООО «ИРИБ»,NEKTAR,Персиковый,PERSIKOVYY,500,500 мл,стекло,GLASS,,Нектар,nektar,46d78cfd-6749-441c-9b27-c7237552cad8,mapped,https://irib.su/product/persikovyj-nektar/,,,missing,,,,,,probable_match,medium,manual,volume_image_unconfirmed; probable_match; missing_image; multi_volume_image_unassigned,low,multi_volume_image_unassigned,persikovyj-nektar,showcase,,false,on_order,1
